|arrests|tags
6563|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6564|RUNAWAY|Runaway
6565|LARCENY B SHOPLIFT|Larceny
6566|UNLAWFUL POSSESSION OF METH|Meth
6567|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6568|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6569|CRIMINAL TRESPASS|Trespass
6570|UNLAWFUL POSSESSION OF METH|Meth
6571|POSSESSION OF FIREARM BY A FELON|Firearms
6572|UNLAWFUL POSSESSION OF METH|Meth
6573|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
6574|FAILURE TO SIGNAL TURN|Traffic Violation
6575|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6576|PETIT THEFT|Theft
6577|UNLAWFUL POSSESSION OF METH|Meth
6578|POSSESSION OF NARCOTICS|Narcotics
6579|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6580|UNLAWFUL POSSESSION OF METH|Meth
6581|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6582|NO VALID DRIVER'S LICENSE IN POSSESSION|License
6583|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6584|WINDSHIELD CRACKED|Traffic Violation
6585|MAKING FALSE WRITING|Forgery
6586|ILLEGAL TAG|Traffic Violation
6587|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6588|BATTERY BODILY HARM DOMESTIC|Battery
6589|POSSESSION OF MARIJUANA|Marijuana
6590|POSSESSION OF NARCOTICS|Narcotics
6591|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6592|TAG REQUIRED|Traffic Violation
6593|CRIMINAL TRESPASS|Trespass
6594|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
6595|RESIST/OBSTRUCT ARREST|Obstruction
6596|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
6597|OFFICIAL TRAFFIC CONTROL DEVICE|Traffic Violation
6598|FAILURE TO SIGNAL TURN|Traffic Violation
6599|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
6600|HIT AND RUN UNATTENDED VEHICLE|Hit and Run
6601|AUTO THEFT NOT RECOVERED|Theft
6602|STOLEN PROPERTY BUYING|Theft
6603|VIOLATION OF PROTECTION FROM ABUSE|Court Order
6604|INTERFERE WITH PHONE SERVICE DOMESTIC VIOLENCE|Interference
6605|OBSTRUCT LEGAL PROCESS|Obstruction
6606|LARCENY B SHOPLIFT|Larceny
6607|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6608|CRIMINAL TRESPASS|Trespass
6609|AGGRAVATED WEAPONS VIOLATION|Weapons
6610|CRIMINAL POSSESSION OF A FIREARM|Firearms
6611|POSSESSION OF NARCOTICS|Narcotics
6612|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6613|FAILURE TO SIGNAL TURN|Traffic Violation
6614|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
6615|SPEED 30 MPH|Speed Limit
6616|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
6617|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
6618|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6619|VIOLATION OF COURT ORDER/CASE PENDING|Court Order
6620|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6621|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
6622|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
6623|PETIT THEFT|Theft
6624|LARCENY B SHOPLIFT|Larceny
6625|UNLAWFUL POSSESSION OF METH|Meth
6626|UNLAWFUL SALE OF MARIJUANA|Marijuana
6627|CRIMINAL CONTEMPT DOMESTIC VIOLENCE|Domestic Violence
6628|CRIMINAL TRESPASS|Trespass
6629|CRIMINAL TRESPASS|Trespass
6630|CRIMINAL TRESPASS|Trespass
6631|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6632|HIT AND RUN|Hit and Run
6633|RUN STOP SIGN|Traffic Violation
6634|RECKLESS DRIVING|Traffic Violation
6635|NO PROOF OF INSURANCE|Insurance
6636|LARCENY A FROM BUILDING $1500+|Larceny
6637|BURGLARY AGGRAVATED RESIDENCE|Burglary
6638|BURGLARY AGGRAVATED RESIDENCE|Burglary
6639|LARCENY B FROM BUILDING|Larceny
6640|BURGLARY AGGRAVATED RESIDENCE|Burglary
6641|LARCENY A FROM BUILDING $1500+|Larceny
6642|RESIST POLICE/ARREST|Obstruction
6643|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6644|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
6645|SALE OF SEXUAL RELATIONS|Procurement
6646|AGGRAVATED BATTERY|Battery
6647|OTHER DESTRUCTION TO PROPERTY|Property Damage
6648|AGGRAVATED WEAPONS VIOLATION|Weapons
6649|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
6650|AGGRAVATED ASSAULT|Assault
6651|INTIMIDATION|Intimidation
6652|SPEED OVER LIMIT|Speed Limit
6653|RECKLESS DRIVING|Traffic Violation
6654|EVADE/ELUDE POLICE|Elusion
6655|DUI INCAPABLE OF SAFELY OPERATING|DUI
6656|DUI|DUI
6657|BATTERY BODILY HARM DOMESTIC|Battery
6658|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6659|STOLEN PROPERTY BUYING|Theft
6660|RECEIVING STOLEN PROPERTY|Theft
6661|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6662|AGGRAVATED WEAPONS VIOLATION|Weapons
6663|RESIST/OBSTRUCT ARREST|Obstruction
6664|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
6665|UNLAWFULLY SELLING/MANUFACTORING/PURCHASING/POSSESSING/CARRYING A WEAPON|Weapons
6666|ASSAULT, AGGRAVATED, FIREARMS|Firearms
6667|POSSESSION OF PARAPHERNALIA|Misc Drugs
6668|DRIVE UNDER THE INFLUENCE|DUI
6669|TAIL LAMPS|Traffic Violation
6670|POSSESSION OF A FIREARM UNDER THE INFLUENCE|Firearms
6671|POSSESSION OF PARAPHERNALIA|Misc Drugs
6672|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6673|AGGRAVATED KIDNAPPING|Kidnapping
6674|VIOLATION OF PROTECTIVE ORDER|Court Order
6675|POSSESSION OF NARCOTICS|Narcotics
6676|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6677|DUI INCAPABLE OF SAFELY OPERATING|DUI
6678|DUI SECOND|DUI
6679|FOLLOW TOO CLOSE|Traffic Violation
6680|AGGRAVATED WEAPONS VIOLATION|Weapons
6681|BATTERY|Battery
6682|SIMPLE ASSAULT|Assault
6683|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
6684|DOMESTIC BATTERY BODILY HARM|Battery
6685|PETIT THEFT|Theft
6686|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6687|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6688|SEAT BELT REQUIRED|Traffic Violation
6689|POSSESSION OF MARIJUANA|Marijuana
6690|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6691|INDECENT EXPOSURE|Public Nudity
6692|POSSESSION OF FIREARM BY A FELON|Firearms
6693|UNLAWFUL POSSESSION OF METH|Meth
6694|POSSESSION OF MARIJUANA|Marijuana
6695|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6696|OBSTRUCT LEGAL PROCESS|Obstruction
6697|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
6698|SEAT BELT REQUIRED|Traffic Violation
6699|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6700|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
6701|BATTERY|Battery
6702|DISTURBING THE PEACE|Disturbance
6703|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
6704|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6705|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6706|BATTERY DOMESTIC VIOLENCE|Battery
6707|AGGRAVATED INDECENT LIBERTIES WITH CHILD|Child Exploitation
6708|SODOMY, AGGRAVATED|Sodomy
6709|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
6710|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance
6711|CRIMINAL TRESPASS|Trespass
6712|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6713|RESIST POLICE/ARREST|Obstruction
6714|POSSESSION OF MARIJUANA|Marijuana
6715|INTERFERE WITH LAW ENFORCEMENT FALSE REPORTING|Interference
6716|BURGLARY NON RESIDENCE|Burglary
6717|LARCENY A FROM AUTO $1500+|Larceny
6718|STOLEN PROPERTY BUYING|Theft
6719|DUI INCAPABLE OF SAFELY OPERATING|DUI
6720|UNLAWFUL POSSESSION OF METH|Meth
6721|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6722|NO SEAT BELT|Traffic Violation
6723|BATTERY BODILY HARM DOMESTIC|Battery
6724|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
6725|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
6726|FUNERAL PROCESSIONS LIGHTS/HAZARD WARNING LAMPS REQUIRED|Traffic Violation
6727|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
6728|RESIST POLICE/ARREST|Obstruction
6729|OBSTRUCT LEGAL PROCESS|Obstruction
6730|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
6731|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6732|ILLEGAL TAG|Traffic Violation
6733|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
6734|BATTERY BODILY HARM DOMESTIC|Battery
6735|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
6736|DUI|DUI
6737|DUI INCAPABLE OF SAFELY OPERATING|DUI
6738|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
6739|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6740|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6741|NO PROOF OF INSURANCE|Insurance
6742|SIGNAL DECREASE IN SPEED|Speed Limit
6743|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
6744|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6745|BATTERY DOMESTIC VIOLENCE|Battery
6746|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
6747|CRIMINAL TRESPASS|Trespass
6748|DOMESTIC BATTERY BODILY HARM|Battery
6749|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
6750|PETIT THEFT|Theft
6751|LARCENY B SHOPLIFT|Larceny
6752|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
6753|PETIT THEFT|Theft
6754|CRIMINAL TRESPASS|Trespass
6755|LARCENY B SHOPLIFT|Larceny
6756|RESIST/OBSTRUCT ARREST|Obstruction
6757|POSSESSION OF NARCOTICS|Narcotics
6758|POSSESSION OF PARAPHERNALIA|Misc Drugs
6759|PETIT THEFT|Theft
6760|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6761|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance
6762|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance
6763|BATTERY DOMESTIC VIOLENCE|Battery
6764|UNLAWFUL POSSESSION OF METH|Meth
6765|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6766|POSSESSION OF NARCOTICS|Narcotics
6767|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6768|LARCENY B FROM BUILDING|Larceny
6769|AUTO THEFT NOT RECOVERED|Theft
6770|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
6771|CRIMINAL TRESPASS|Trespass
6772|VIOLATION OF COURT ORDER/CASE PENDING|Court Order
6773|DUI|DUI
6774|DUI INCAPABLE OF SAFELY OPERATING|DUI
6775|ILLEGAL TAG|Traffic Violation
6776|DEFECTIVE HEADLIGHT|Traffic Violation
6777|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics
6778|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6779|STOLEN PROPERTY BUYING|Theft
6780|POSSESSION OF PARAPHERNALIA|Misc Drugs
6781|BURGLARY NON RESIDENCE|Burglary
6782|POSSESSION OF FIREARM BY A FELON|Firearms
6783|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
6784|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6785|FAILURE TO EXIT, DISPERSE OR VACATE PREMISES IN A TIMELY MANNER|Trespass
6786|POSSESSION OF ILLEGAL WEAPONS|Weapons
6787|DRIVE RIGHT SIDE/4 LANES|Traffic Violation
6788|UNSAFE LANE CHANGE|Traffic Violation
6789|DUI|DUI
6790|DUI INCAPABLE OF SAFELY OPERATING|DUI
6791|UNLAWFUL DISCHARGE OF A FIREARM|Firearms
6792|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6793|NO PROOF OF INSURANCE|Insurance
6794|DUI INCAPABLE OF SAFELY OPERATING|DUI
6795|DUI|DUI
6796|RECKLESS DRIVING|Traffic Violation
6797|DUI|DUI
6798|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6799|NO PROOF OF INSURANCE|Insurance
6800|BATTERY|Battery
6801|RESIST/OBSTRUCT ARREST|Obstruction
6802|UNLAWFUL RESTRAINT|Interference
6803|AUTO THEFT NOT RECOVERED|Theft
6804|UNLAWFUL POSSESSION OF METH|Meth
6805|BATTERY DOMESTIC VIOLENCE|Battery
6806|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
6807|UNLAWFUL RESTRAINT|Interference
6808|LARCENY B SHOPLIFT|Larceny
6809|PETIT THEFT|Theft
6810|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
6811|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
6812|ETHNIC INTIMIDATION|Intimidation
6813|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
6814|DRIVE UNDER THE INFLUENCE|DUI
6815|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
6816|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault
6817|PETIT THEFT|Theft
6818|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault
6819|UNLAWFUL POSSESSION OF METH|Meth
6820|CRIMINAL TRESPASS|Trespass
6821|AGGRAVATED BATTERY|Battery
6822|OTHER DESTRUCTION TO PROPERTY|Property Damage
6823|AGGRAVATED BATTERY|Battery
6824|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
6825|RESIST/OBSTRUCT ARREST|Obstruction
6826|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
6827|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6828|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
6829|BATTERY DOMESTIC VIOLENCE|Battery
6830|UNLAWFUL POSSESSION OF MARIJUANA DEPRESSANT|Marijuana
6831|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
6832|UNLAWFUL RESTRAINT|Interference
6833|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
6834|RUN STOP SIGN|Traffic Violation
6835|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6836|ABDUCTION/KIDNAPPING|Kidnapping
6837|BATTERY DOMESTIC VIOLENCE|Battery
6838|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6839|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6840|PETIT THEFT|Theft
6841|CRIMINAL TRESPASS|Trespass
6842|DOMESTIC BATTERY BODILY HARM|Battery
6843|PETIT THEFT|Theft
6844|DUI|DUI
6845|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6846|DISPLAY ALTERED TAG|Traffic Violation
6847|ILLEGAL TAG|Traffic Violation
6848|INATTENTIVE DRIVING|Traffic Violation
6849|NO PROOF OF INSURANCE|Insurance
6850|AGGRAVATED WEAPONS VIOLATION|Weapons
6851|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6852|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
6853|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
6854|AGGRAVATED BATTERY|Battery
6855|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
6856|SIMPLE ASSAULT|Assault
6857|CRIMINAL TRESPASS|Trespass
6858|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
6859|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6860|ILLEGAL TAG|Traffic Violation
6861|NO PROOF OF INSURANCE|Insurance
6862|DISOBEYING POLICE|Interference
6863|POSSESSION OF FIREARM BY A FELON|Firearms
6864|RESIST/OBSTRUCT ARREST|Obstruction
6865|NO SEAT BELT|Traffic Violation
6866|UNLAWFULLY SELLING/MANUFACTORING/PURCHASING/POSSESSING/CARRYING A WEAPON|Weapons
6867|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6868|DEFECTIVE HEADLIGHT|Traffic Violation
6869|NO PROOF OF INSURANCE|Insurance
6870|CRIMINAL TRESPASS|Trespass
6871|BATTERY PHYSICAL CONTACT/RUDE MANNER|Battery
6872|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6873|OTHER DESTRUCTION TO PROPERTY|Property Damage
6874|INTIMIDATION|Intimidation
6875|POSSESSION OF MARIJUANA|Marijuana
6876|POSSESSION OF PARAPHERNALIA|Misc Drugs
6877|POSSESSION OF MARIJUANA|Marijuana
6878|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6879|NO PROOF OF INSURANCE|Insurance
6880|SPEED OVER LIMIT|Speed Limit
6881|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
6882|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault
6883|RESIST/OBSTRUCT ARREST|Obstruction
6884|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6885|ARSON DWELLING|Arson
6886|BATTERY PHYSICAL CONTACT/RUDE MANNER|Battery
6887|POSSESSION OF MARIJUANA|Marijuana
6888|LARCENY B SHOPLIFT|Larceny
6889|DISTURBING THE PEACE|Disturbance
6890|RESIST/OBSTRUCT ARREST|Obstruction
6891|DISTURBING THE PEACE|Disturbance
6892|8 FT FROM PRIVATE DRIVE|Traffic Violation
6893|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6894|TRANSPORT OPEN ALCOHOL/LIQUOR BEVERAGE ACCESSIBLE TO DRIVER|Alcohol
6895|PARK LEFT WHEEL TO CURB/PARK 12 IN FROM CURB ON 1 WAY STREET|Traffic Violation
6896|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6897|DUI INCAPABLE OF SAFELY OPERATING|DUI
6898|BURGLARY NON RESIDENCE|Burglary
6899|LARCENY B SHOPLIFT|Larceny
6900|OTHER DESTRUCTION TO PROPERTY|Property Damage
6901|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery
6902|AGGRAVATED BATTERY|Battery
6903|OTHER DESTRUCTION TO PROPERTY|Property Damage
6904|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery
6905|RUNAWAY|Runaway
6906|BURGLARY NON RESIDENCE|Burglary
6907|UNLAWFUL POSSESSION OF METH|Meth
6908|CRIMINAL TRESPASS|Trespass
6909|BURGLARY NON RESIDENCE|Burglary
6910|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
6911|PETIT THEFT|Theft
6912|CRIMINAL TRESPASS|Trespass
6913|WORK AS AN ESCORT WITHOUT LICENSE|Procurement
6914|WORK AS AN ESCORT WITHOUT LICENSE|Procurement
6915|VIOLATION OF COURT ORDER/CASE PENDING|Court Order
6916|DUI INCAPABLE OF SAFELY OPERATING|DUI
6917|NO DRIVER'S LICENSE|License
6918|EMERGING FROM ALLEY, DRIVEWAY, BUILDING|Traffic Violation
6919|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
6920|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
6921|CRIMINAL DAMAGE TO PROPERTY|Property Damage
6922|STOLEN PROPERTY BUYING|Theft
6923|POSSESSION OF PARAPHERNALIA|Misc Drugs
6924|UNLAWFUL POSSESSION OF METH|Meth
6925|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Traffic Violation
6926|BURGLARY AGGRAVATED RESIDENCE|Burglary
6927|ASSAULT, AGGRAVATED, FIREARMS|Firearms
6928|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
6929|RECKLESS DRIVING|Traffic Violation
6930|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
6931|FAILURE TO SIGNAL TURN|Traffic Violation
6932|TRAFFIC CONTROL SIGNALS|Traffic Violation
6933|RUN STOP SIGN|Traffic Violation
6934|FAILURE TO DRIVE WITHIN MARKED LANE|Traffic Violation
6935|MAXIMUM SPEED LIMIT|Speed Limit
6936|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
6937|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
6938|BATTERY DOMESTIC VIOLENCE|Battery
6939|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6940|CRIMINAL TRESPASS|Trespass
6941|PETIT THEFT|Theft
6942|DOMESTIC BATTERY BODILY HARM|Battery
6943|NO PROOF OF INSURANCE|Insurance
6944|NO VALID DRIVER'S LICENSE IN POSSESSION|License
6945|SPEED OVER LIMIT|Speed Limit
6946|OBSTRUCT LEGAL PROCESS|Obstruction
6947|LARCENY A SHOPLIFT $1500+|Larceny
6948|LARCENY B SHOPLIFT|Larceny
6949|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6950|IMPROPER LEFT TURN|Traffic Violation
6951|PETIT THEFT|Theft
6952|LARCENY B SHOPLIFT|Larceny
6953|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6954|AGGRAVATED WEAPONS VIOLATION|Weapons
6955|CRIMINAL TRESPASS|Trespass
6956|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6957|POSSESSION OF MARIJUANA|Marijuana
6958|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6959|WINDSHIELD OBSCURED|Traffic Violation
6960|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License
6961|RESIST/OBSTRUCT ARREST|Obstruction
6962|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
6963|FORCIBLE RAPE|Rape
6964|AGGRAVATED HUMAN TRAFFICKING UNDER 18 YEARS OF AGE|Trafficking
6965|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6966|UNLAWFUL POSSESSION OF METH|Meth
6967|CRIMINAL TRESPASS|Trespass
6968|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
6969|RUNAWAY|Runaway
6970|PETIT THEFT|Theft
6971|WRONG WAY ON ONE WAY STREET|Traffic Violation
6972|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
6973|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
6974|DRIVE UNDER THE INFLUENCE|DUI
6975|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
6976|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
6977|POSSESSION OF NARCOTICS|Narcotics
6978|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6979|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
6980|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
6981|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6982|UNLAWFUL TO LITTER|Littering
6983|CONSUMPTION IN PUBLIC PLACES PROHIBITED|Alcohol
6984|CRIMINAL TRESPASS|Trespass
6985|STOLEN PROPERTY BUYING|Theft
6986|PETIT THEFT|Theft
6987|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
6988|UNLAWFUL POSSESSION OF METH|Meth
6989|LAMPS, BRAKES, AND OTHER EQUIPMENT|Traffic Violation
6990|RESIST/OBSTRUCT ARREST|Obstruction
6991|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
6992|AGGRAVATED WEAPONS VIOLATION|Weapons
6993|VIOLATION OF PROTECTION FROM ABUSE|Court Order
6994|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
6995|BATTERY BODILY HARM DOMESTIC|Battery
6996|OBSTRUCT LEGAL PROCESS|Obstruction
6997|ILLEGAL TAG|Traffic Violation
6998|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
6999|VIOLATION OF PROTECTIVE ORDER|Court Order
7000|LARCENY B FROM BUILDING|Larceny
7001|POSSESSION OF PARAPHERNALIA|Misc Drugs
7002|DUI INCAPABLE OF SAFELY OPERATING|DUI
7003|NO PROOF OF INSURANCE|Insurance
7004|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
7005|BATTERY DOMESTIC VIOLENCE|Battery
7006|RUNAWAY|Runaway
7007|NO PROOF OF INSURANCE|Insurance
7008|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
7009|CONSUME ALCOHOL/LIQUOR IN PUBLIC|Alcohol
7010|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
7011|CRIMINAL TRESPASS|Trespass
7012|MURDER/NON NEGLIGENT MANSLAUGHTER/DOMESTIC VIOLENCE|Manslaughter
7013|OBSTRUCT LEGAL PROCESS|Obstruction
7014|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
7015|CONSUME ALCOHOL IN PUBLIC|Alcohol
7016|UNLAWFUL SALE OR DISTRIBUTION OF NARCOTICS|Narcotics
7017|POSSESSION OF MARIJUANA|Marijuana
7018|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
7019|CONSUME ALCOHOL IN PUBLIC|Alcohol
7020|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
7021|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
7022|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
7023|CRIMINAL DAMAGE TO PROPERTY|Property Damage
7024|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
