|arrests|tags|stems
10713|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10714|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10715|AGGRAVATED BATTERY,|Battery|aggrav batteri
10716|BURGLARY AGGRAVATED RESIDENCE|Burglary|burglari aggrav resid
10717|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10718|AGGRAVATED BATTERY,|Battery|aggrav batteri
10719|BATTERY|Battery|batteri
10720|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10721|HIT AND RUN|Hit and Run|hit run
10722|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10723|FIGHTING/DOMESTIC VIOLENCE|Domestic Violence|fight domest violenc
10724|BATTERY BODILY HARM|Battery|batteri bodili harm
10725|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10726|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
10727|FIGHTING/DOMESTIC VIOLENCE|Domestic Violence|fight domest violenc
10728|AGGRAVATED BATTERY|Battery|aggrav batteri
10729|AGGRAVATED BATTERY,|Battery|aggrav batteri
10730|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10731|CRIMINAL CONTEMPT|Disturbance|crimin contempt
10732|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10733|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
10734|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10735|EVADE/ELUDE POLICE|Elusion|evad elud polic
10736|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10737|AGGRAVATED BATTERY,|Battery|aggrav batteri
10738|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
10739|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10740|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
10741|BURGLARY NON DWELLING|Burglary|burglari non dwell
10742|LARCENY B FROM AUTO|Larceny|larceni b auto
10743|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
10744|BIKE LITES CERTAIN HOURS|Vehicle / Traffic Violation|bike lite certain hour
10745|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10746|NO PROOF OF INSURANCE|Insurance|proof insur
10747|RUN RED LIGHT|Vehicle / Traffic Violation|run red light
10748|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10749|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10750|NO SEAT BELT|Vehicle / Traffic Violation|seat belt
10751|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10752|CRIMINAL TRESPASS|Trespass|crimin trespass
10753|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance|disorderli conduct offens languag
10754|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
10755|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
10756|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
10757|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10758|DRIVE WHILE SUSPENDED|License|drive suspend
10759|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
10760|FRAUDULENT CHECKS, INSUFFICIENT FUNDS|Fraud|fraudul check insuffici fund
10761|AGGRAVATED ASSAULT|Assault|aggrav assault
10762|UNLAWFUL RESTRAINT|Obstruction|unlaw restraint
10763|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10764|CARRY CONCEALED WEAPON|Weapons|carri conceal weapon
10765|OTHER WEAPONS VIOLATIONS|Weapons|weapon violat
10766|STOLEN PROPERTY BUYING|Theft|stolen properti buy
10767|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10768|SALE OR POSSESS WITH INTENT TO SELL MARIJUANA WITHIN 1000 FT OF SCHOOL|Marijuana|sale possess intent sell marijuana within ft school
10769|PETIT THEFT|Theft|petit theft
10770|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10771|STOLEN PROPERTY BUYING|Theft|stolen properti buy
10772|AGGRAVATED ASSAULT LAW ENFORCEMENT OFFICER|Assault|aggrav assault law enforc offic
10773|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
10774|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10775|AGGRAVATED BATTERY,|Battery|aggrav batteri
10776|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10777|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
10778|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
10779|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License|restrict licens suspend revok
10780|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
10781|NO PROOF OF INSURANCE|Insurance|proof insur
10782|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10783|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10784|CHILD ENDANGERMENT|Child Abuse|child endanger
10785|CRIMINAL TRESPASS|Trespass|crimin trespass
10786|SALE OF SEXUAL RELATIONS|Procurement|sale sexual relat
10787|WORK AS AN ESCORT WITHOUT LICENSE|Procurement|work escort without licens
10788|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
10789|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10790|AGGRAVATED BATTERY,|Battery|aggrav batteri
10791|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10792|AGGRAVATED BATTERY,|Battery|aggrav batteri
10793|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10794|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10795|CRIMINAL TRESPASS|Trespass|crimin trespass
10796|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
10797|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
10798|RESIST POLICE/ARREST|Obstruction|resist polic arrest
10799|BATTERY BODILY HARM|Battery|batteri bodili harm
10800|UNLAWFUL RESTRAINT|Obstruction|unlaw restraint
10801|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
10802|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10803|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
10804|FORCIBLE RAPE|Rape|forcibl rape
10805|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10806|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10807|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10808|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10809|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10810|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10811|POSSESSION OPIATES, OPIUM OR NARCOTICS|Narcotics / Other Drugs|possess opiat opium narcot
10812|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
10813|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10814|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10815|BATTERY|Battery|batteri
10816|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10817|TRAFFIC LAWS APPLY TO BIKE RIDERS|Vehicle / Traffic Violation|traffic law appli bike rider
10818|PETIT THEFT|Theft|petit theft
10819|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10820|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10821|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
10822|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
10823|CRIMINAL DAMAGE TO PROPERTY|Property Damage|crimin damag properti
10824|LARCENY B ALL OTHER|Larceny|larceni b
10825|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10826|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10827|STOLEN PROPERTY BUYING|Theft|stolen properti buy
10828|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
10829|BATTERY BODILY HARM|Battery|batteri bodili harm
10830|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10831|PETIT THEFT|Theft|petit theft
10832|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10833|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10834|TRAFFIC LAWS APPLY TO BIKE RIDERS|Vehicle / Traffic Violation|traffic law appli bike rider
10835|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
10836|PETIT THEFT|Theft|petit theft
10837|PETIT THEFT|Theft|petit theft
10838|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10839|RECEIVING STOLEN PROPERTY|Theft|receiv stolen properti
10840|RUNAWAY|Runaway|runaway
10841|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10842|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10843|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10844|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10845|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10846|PETIT THEFT|Theft|petit theft
10847|RUNAWAY|Runaway|runaway
10848|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
10849|INTIMIDATION|Intimidation|intimid
10850|CRIMINAL DEPRIVATION OF PROPERTY|Theft|crimin depriv properti
10851|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10852|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
10853|HIT AND RUN INJURY ACCIDENT|Hit and Run|hit run injuri accid
10854|DRIVE WHILE SUSPENDED|License|drive suspend
10855|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance|knowingli drive uninsur vehicl
10856|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
10857|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
10858|BATTERY|Battery|batteri
10859|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10860|SALE OF SEXUAL RELATIONS|Procurement|sale sexual relat
10861|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
10862|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10863|BATTERY BODILY HARM|Battery|batteri bodili harm
10864|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
10865|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10866|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
10867|AGGRAVATED BATTERY,|Battery|aggrav batteri
10868|UNLAWFUL RESTRAINT|Obstruction|unlaw restraint
10869|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10870|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
10871|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10872|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10873|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10874|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10875|CRIMINAL TRESPASS|Trespass|crimin trespass
10876|BATTERY BODILY HARM|Battery|batteri bodili harm
10877|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
10878|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10879|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery|robberi commerci hous aggrav
10880|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10881|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10882|AGGRAVATED BATTERY,|Battery|aggrav batteri
10883|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10884|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
10885|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10886|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
10887|WINDSHIELD OBSCURED|Vehicle / Traffic Violation|windshield obscur
10888|RUNAWAY|Runaway|runaway
10889|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
10890|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
10891|STOLEN PROPERTY BUYING|Theft|stolen properti buy
10892|CRIMINAL TRESPASS|Trespass|crimin trespass
10893|RESIST POLICE/ARREST|Obstruction|resist polic arrest
10894|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
10895|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
10896|INTIMIDATION|Intimidation|intimid
10897|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10898|PETIT THEFT|Theft|petit theft
10899|PETIT THEFT|Theft|petit theft
10900|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
10901|TAG REQUIRED|Vehicle / Traffic Violation|tag requir
10902|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
10903|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
10904|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
10905|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10906|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10907|CRIMINAL TRESPASS|Trespass|crimin trespass
10908|PETIT THEFT|Theft|petit theft
10909|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
10910|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10911|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
10912|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10913|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
10914|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10915|AGGRAVATED BATTERY,|Battery|aggrav batteri
10916|INTIMIDATION|Intimidation|intimid
10917|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
10918|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10919|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
10920|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10921|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
10922|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10923|PETIT THEFT|Theft|petit theft
10924|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10925|AGGRAVATED BATTERY|Battery|aggrav batteri
10926|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
10927|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10928|DUI SECOND|DUI|dui second
10929|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
10930|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10931|FAILURE TO YIELD RIGHT OF WAY ENTERING ROADWAY|Vehicle / Traffic Violation|failur yield right way enter roadway
10932|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
10933|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
10934|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
10935|STOLEN PROPERTY BUYING|Theft|stolen properti buy
10936|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
10937|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
10938|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10939|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
10940|CHILD ENDANGERMENT|Child Abuse|child endanger
10941|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
10942|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
10943|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
10944|SPEED 30 MPH|Speed Limit|speed mph
10945|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
10946|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
10947|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
10948|DUI|DUI|dui
10949|NO PROOF OF INSURANCE|Insurance|proof insur
10950|INATTENTIVE DRIVING|Vehicle / Traffic Violation|inattent drive
10951|VIOLATION OF PROTECTIVE ORDER|Court Order|violat protect order
10952|AGGRAVATED BATTERY|Battery|aggrav batteri
10953|PETIT THEFT|Theft|petit theft
10954|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10955|RUNAWAY|Runaway|runaway
10956|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10957|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10958|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10959|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10960|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
10961|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10962|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10963|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
10964|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10965|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
10966|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10967|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10968|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10969|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10970|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10971|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10972|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
10973|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
10974|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10975|CRIMINAL TRESPASS|Trespass|crimin trespass
10976|LARCENY A ALL OTHER $1500+|Larceny|larceni
10977|LARCENY A ALL OTHER $1500+|Larceny|larceni
10978|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10979|WINDSHIELD CRACKED|Vehicle / Traffic Violation|windshield crack
10980|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
10981|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
10982|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
10983|LARCENY B ALL OTHER|Larceny|larceni b
10984|RUNAWAY|Runaway|runaway
10985|BATTERY|Battery|batteri
10986|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10987|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
10988|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10989|DEFECTIVE TAILLIGHT|Vehicle / Traffic Violation|defect taillight
10990|TAG ILLUMINATED|Vehicle / Traffic Violation|tag illumin
10991|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
10992|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10993|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
10994|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
10995|BATTERY BODILY HARM|Battery|batteri bodili harm
10996|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
10997|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
10998|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
10999|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11000|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11001|CRIMINAL TRESPASS|Trespass|crimin trespass
11002|BATTERY|Battery|batteri
11003|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11004|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
11005|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11006|RUN RED LIGHT|Vehicle / Traffic Violation|run red light
11007|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
11008|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
11009|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11010|CRIMINAL DISCHARGE OF FIREARM|Firearms|crimin discharg firearm
11011|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11012|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11013|BATTERY PHYSICAL CONTACT/RUDE|Battery|batteri physic contact rude
11014|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11015|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11016|FAILURE TO VACATE ENTERTAINMENT ESTABLISHMENT|Trespass|failur vacat entertain establish
11017|CRIMINAL TRESPASS|Trespass|crimin trespass
11018|FORCIBLE RAPE|Rape|forcibl rape
11019|AGGRAVATED BATTERY,|Battery|aggrav batteri
11020|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11021|CRIMINAL CONTEMPT|Disturbance|crimin contempt
11022|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
11023|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11024|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11025|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11026|AGGRAVATED BATTERY|Battery|aggrav batteri
11027|AGGRAVATED BATTERY FIREARMS|Battery|aggrav batteri firearm
11028|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
11029|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
11030|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11031|TRAFFIC OF CONTRABAND IN A CORRECTIONAL INSTITUTION|Vehicle / Traffic Violation|traffic contraband correct institut
11032|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11033|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11034|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
11035|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
11036|CRIMINAL TRESPASS|Trespass|crimin trespass
11037|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
11038|WALK ON SOLID DONT WALK SIGNAL|Vehicle / Traffic Violation|walk solid dont walk signal
11039|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
11040|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11041|NO VALID DRIVER'S LICENSE IN POSSESSION|License|valid driver licens possess
11042|DISOBEY NO TURN SIGN|Vehicle / Traffic Violation|disobey turn sign
11043|AGGRAVATED BATTERY,|Battery|aggrav batteri
11044|AGGRAVATED WEAPONS VIOLATION|Weapons|aggrav weapon violat
11045|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11046|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
11047|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
11048|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance|knowingli drive uninsur vehicl
11049|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11050|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
11051|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11052|DRIVE ACROSS DIVIDING SPACE ON HIGHWAY|Vehicle / Traffic Violation|drive across divid space highway
11053|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
11054|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
11055|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
11056|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11057|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
11058|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11059|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
11060|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
11061|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11062|BATTERY|Battery|batteri
11063|AGGRAVATED ASSAULT|Assault|aggrav assault
11064|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
11065|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11066|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
11067|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11068|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
11069|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
11070|CARELESS DRIVING DRIVER ACTION|Vehicle / Traffic Violation|careless drive driver action
11071|FAILURE TO REDUCE SPEED|Speed Limit|failur reduc speed
11072|BATTERY BODILY HARM|Battery|batteri bodili harm
11073|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11074|BATTERY|Battery|batteri
11075|AGGRAVATED BATTERY,|Battery|aggrav batteri
11076|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
11077|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
11078|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
11079|DUI|DUI|dui
11080|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
11081|NO CLASS A DRIVERS LICENSE|License|class driver licens
11082|BATTERY BODILY HARM|Battery|batteri bodili harm
